Section,Key,Value
exportDate,exportDate,2026-03-08T18:01:58.131Z
profile,reviewStats,"{""ratingDistribution"":{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0},""averageRating"":0,""totalReviews"":0}"
profile,passwordStrength,"{""score"":0,""label"":""none""}"
profile,security,"{""twoFactorEnabled"":false,""backupCodes"":[],""twoFactorSetupPending"":false}"
profile,registrationProgress,"{""step"":1,""completed"":false}"
profile,preferences,"{""notifications"":{""enabled"":true,""email"":true,""push"":true},""accessibility"":{""reducedMotion"":false,""highContrast"":false,""fontSize"":""medium""},""tracking"":{""enabled"":true},""theme"":""system"",""language"":""ar""}"
profile,_id,"""69adb9946739623c3948b5b6"""
profile,email,"""95vkg*078.5dw*ek~dh.#8$.yt!/'s.#^k}|ggsqr.fu9a-vtauf.onomc}!=ze~@fbhz5r.huu"""
profile,role,"""HR"""
profile,phone,"""+658"""
profile,country,"""UAE"""
profile,privacyAccepted,true
profile,isVerified,false
profile,isSpecialNeeds,false
profile,specialNeedsType,"""none"""
profile,emailVerified,false
profile,accountDisabled,false
profile,oauthAccounts,[]
profile,createdAt,"""2026-03-08T18:01:56.828Z"""
profile,updatedAt,"""2026-03-08T18:01:56.828Z"""
